SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
521149,PRIME URBAN ,X ,Q,18.5,18.9,18.1,18.6,18.9,18.9,15,2678,49710,
521161,SRI LAK.SAR.,XT,Q,20.9,20.9,20.9,20.9,20.9,22,1,50,1045,
521163,ZODIAC CLOTH,B ,Q,179.05,183.65,175.25,182.45,180.95,182.4,44,2427,433847,
521167,FRONT BUSS  ,X ,Q,9.76,10.78,9.76,10.77,10.78,10.27,118,148154,1569312,
521180,SUPER SPIN. ,B ,Q,14.9,14.9,14.5,14.8,14.8,15,20,1998,29351,
521182,SEASONS FUR.,X ,Q,6.8,6.82,6.18,6.82,6.82,6.5,7,1251,7747,
521194,SIL INVEST  ,B ,Q,438,457.7,432,437.2,437,442.3,58,3087,1372701,
521200,SURYLAK.COTT,B ,Q,79.35,80.15,78.45,78.9,79,78.8,22,1515,120238,
521206,SAMTEX FASH.,X ,Q,4.44,4.7,4,4.11,4.11,4.25,71,74046,314791,
521216,DHAN ROTO SP,XT,Q,53.5,55.9,53.5,53.6,54.75,55.85,46,6323,343465,
521220,DAMOINDUS   ,B ,Q,137.7,144.05,135.2,142.4,142.8,133,395,27716,3889413,
521222,SANBLUE     ,X ,Q,4.07,4.07,4.07,4.07,4.07,3.88,1,25,101,
521226,UNI ROYAL IN,X ,Q,11.58,11.58,11.58,11.58,11.58,11.03,5,2172,25151,
521228,TATIA GLOB  ,ST,Q,0.52,0.52,0.52,0.52,0.52,0.54,1,200,104,
521234,SRI NACHAMAI,X ,Q,18.75,20.6,18.75,20.6,20.6,19.7,5,607,11394,
521238,KDL         ,XT,Q,22.95,22.95,22.95,22.95,22.95,24.15,1,25,573,
521240,SAMBANDAM SP,X ,Q,136.15,146.65,136.15,137.5,137.5,146.85,6,56,7674,
521242,KANDAGIRI SP,X ,Q,41.15,41.15,35,37.45,37.45,37.95,24,215,7634,
521244,CHITRA.SPIN.,XT,Q,9.9,9.9,9.9,9.9,9.9,9.8,1,9,89,
521248,KITEX GARMEN,B ,Q,262.85,268.85,256.55,265.7,268.2,258.05,648,48656,12724542,
522001,CRANEX LTD. ,X ,Q,19.8,19.8,19,19.8,19.8,18.9,6,1780,34444,
522004,BATLIBOI LTD,XT,Q,29,29.45,27.1,27.15,28,28.5,177,82785,2255726,
522005,AUSTIN ENGG.,XT,Q,94,94,90.1,90.3,90.3,90.85,10,1232,115324,
522014,UNITED DRILL,Z ,Q,279.5,281.15,269,279,279,267.8,43,1299,359817,
522017,FLUIDOMAT   ,X ,Q,186.95,186.95,180.2,182.3,182.1,182.05,52,1587,287862,
522029,WINDSOR MACH,B ,Q,123.45,123.45,115.1,117.7,116.75,121.05,469,71458,8414817,
522034,SHANTHI GEAR,B ,Q,145,145,141.2,142.6,141.55,143.05,34,1039,148532,
522064,HONDA SIEL  ,B ,Q,1491.1,1499,1475,1484.2,1493,1486.5,61,598,888340,
522073,HITECHGEAR  ,B ,Q,445.6,445.6,432.15,434.6,432.15,437.6,49,787,344226,
522074,ELGI EQUIP  ,B ,Q,315.95,317.75,308.7,309.8,309.8,314.95,86,3133,973501,
522101,KILBURN ENGG,X ,Q,83.8,85,83,83.8,83.1,83.8,47,7079,592184,
522105,BIRLA PRETEC,X ,Q,6.82,7.26,6.81,7,7,6.93,43,10915,75402,
522108,YUKEN INDIA ,X ,Q,4490,4498,4405.05,4430.95,4462,4450.15,140,1851,8233311,
522113,TIMKEN (I)  ,B ,Q,803.4,803.5,789.05,790.65,789.25,804.45,79,873,695274,
522122,VOITH PAPER ,XT,Q,795,799.5,793,799.5,799.5,801.2,18,721,574742,
